[2018-02-27T11:01:39.513] [INFO] normal - GET /article 响应时间为: 0.132s
[2018-02-27T12:21:47.043] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:47.056] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.091] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.105] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.137] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.151] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.181] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.194] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.229] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.243] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.274] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.285] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.321] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.333] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.367] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.383] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.417] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.436] [INFO] normal - GET /tag 响应时间为: 0.007s
[2018-02-27T12:21:47.469] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.510] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.555] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.560] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.589] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.606] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.632] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.650] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:47.693] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.709] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:47.747] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:47.762] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.801] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.816] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.850] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.866] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:47.903] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:47.917] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:47.966] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:47.984] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:48.009] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.025] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.061] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.078] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:48.113] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.150] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:48.190] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:48.209] [INFO] normal - GET /tag 响应时间为: 0.004s
[2018-02-27T12:21:48.248] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.266] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.306] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.322] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:48.360] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:48.374] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.409] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.425] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.461] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.478] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:48.510] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.526] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.561] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.580] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:48.609] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.624] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.655] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.670] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.701] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.716] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:48.745] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.758] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.790] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.804] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.836] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:48.853] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.873] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.884] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:48.913] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:48.931] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:48.959] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:48.972] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.004] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.020] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.054] [INFO] normal - GET /classify 响应时间为: 0.004s
[2018-02-27T12:21:49.097] [INFO] normal - GET /tag 响应时间为: 0.032s
[2018-02-27T12:21:49.099] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:49.116] [INFO] normal - GET /tag 响应时间为: 0.004s
[2018-02-27T12:21:49.144] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.162] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.190] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.206] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:49.233] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.246] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.280] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.293] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.328] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.348] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:49.366] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.381] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.421] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.445] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.477] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.491] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:49.520] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.535] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.565] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.579] [INFO] normal - GET /tag 响应时间为: 0.003s
[2018-02-27T12:21:49.609] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.620] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.651] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.666] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.699] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.712] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.739] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.754] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.783] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.797] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.828] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:49.839] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.870] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:49.886] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:49.917] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.931] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:49.959] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:49.977] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.012] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.027] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.061] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:50.075] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.102] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.116] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.143] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.157] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.183] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.200] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.226] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.240] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.267] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.278] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.302] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.314] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.338] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.349] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.374] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.385] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.409] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.420] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.444] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.457] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.480] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.491] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.515] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.526] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.551] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.562] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.586] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.597] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.621] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.632] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.657] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.668] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.693] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.703] [INFO] normal - OPTIONS /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.727] [INFO] normal - OPTIONS /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.733] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.735] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.746] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.771] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.782] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.806] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.818] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.840] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.854] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.876] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.887] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.911] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.922] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:50.946] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:50.959] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:50.982] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:50.993] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.017] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.028] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.052] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.063] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.087] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.098] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.122] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.133] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.157] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.168] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.192] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.207] [INFO] normal - GET /tag 响应时间为: 0.006s
[2018-02-27T12:21:51.236] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.240] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.266] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.288] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.336] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.367] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.407] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.424] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.481] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.503] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.542] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.557] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.591] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.607] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.640] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.656] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.691] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.707] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.740] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.756] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.788] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:51.804] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:51.841] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.858] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.892] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.909] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:51.950] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:51.967] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.002] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.019] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.054] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.070] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.100] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.115] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.171] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.186] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.221] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.246] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.270] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.287] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.317] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.332] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.358] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.376] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.400] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.414] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.438] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.449] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.474] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.485] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.510] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.520] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.544] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.555] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.578] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.589] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.614] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.626] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.651] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.662] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.688] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.700] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.725] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.747] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.779] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.794] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.850] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.863] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:52.891] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:52.903] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.928] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.943] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:52.973] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:52.985] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.010] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:53.021] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.050] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:53.062] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.089] [INFO] normal - GET /classify 响应时间为: 0.003s
[2018-02-27T12:21:53.101] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.125] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:53.136] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.160] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:53.171] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.197] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:53.208] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:53.233] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:53.244] [INFO] normal - GET /tag 响应时间为: 0.001s
[2018-02-27T12:21:53.268] [INFO] normal - GET /classify 响应时间为: 0.002s
[2018-02-27T12:21:53.279] [INFO] normal - GET /tag 响应时间为: 0.002s
[2018-02-27T12:21:53.302] [INFO] normal - GET /classify 响应时间为: 0.001s
[2018-02-27T12:21:53.326] [INFO] normal - GET /tag 响应时间为: 0.014s
